id,from,to,airline,departure,arrival,price
1,CPT,DUR,FlySafair,1742053500,1742061000,762
2,CPT,DUR,LIFT Airline,1742015400,1742022900,865
3,CPT,DUR,LIFT Airline,1742038200,1742045700,865
4,CPT,DUR,FlySafair,1742057400,1742064900,762
5,CPT,DUR,FlySafair,1742055600,1742063100,962
6,CPT,DUR,FlySafair,1742032800,1742040300,1062
7,CPT,DUR,FlySafair,1742045700,1742053200,1062
8,CPT,DUR,FlySafair,1742011200,1742018700,1162
9,CPT,DUR,CemAir Pty,1742011800,1742019000,1199
10,CPT,DUR,CemAir Pty,1742031300,1742038500,1314
11,CPT,DUR,FlySafair,1742053500,1742061000,762
12,CPT,DUR,LIFT Airline,1742015400,1742022900,865
13,CPT,DUR,FlySafair,1742057400,1742064900,762
14,CPT,DUR,FlySafair,1742055600,1742063100,962
15,CPT,DUR,FlySafair,1742032800,1742040300,1062
16,CPT,DUR,FlySafair,1742045700,1742053200,1062
17,CPT,DUR,FlySafair,1742011200,1742018700,1162
18,CPT,DUR,CemAir Pty,1742011800,1742019000,1199
19,CPT,DUR,CemAir Pty,1742031300,1742038500,1314
20,CPT,DUR,FlySafair,1742097600,1742105100,762
21,CPT,DUR,FlySafair,1742104800,1742112300,762
22,CPT,DUR,LIFT Airline,1742107500,1742115000,970
23,CPT,DUR,CemAir Pty,1742098200,1742105400,1199
24,CPT,DUR,FlySafair,1742113500,1742121000,1262
25,CPT,DUR,FlySafair,1742142000,1742149500,1562
26,CPT,DUR,FlySafair,1742146800,1742154300,1662
27,CPT,DUR,FlySafair,1742116500,1742124000,1762
28,CPT,DUR,FlySafair,1742139900,1742147400,1912
29,CPT,DUR,CemAir Pty,1742117700,1742124900,1947
30,CPT,DUR,CemAir Pty,1742137200,1742144400,1947
31,CPT,DUR,LIFT Airline,1742130000,1742137500,2000
32,CPT,DUR,FlySafair,1742097600,1742105100,762
33,CPT,DUR,FlySafair,1742104800,1742112300,762
34,CPT,DUR,LIFT Airline,1742107500,1742115000,970
35,CPT,DUR,CemAir Pty,1742098200,1742105400,1199
36,CPT,DUR,FlySafair,1742142000,1742149500,1562
37,CPT,DUR,FlySafair,1742146800,1742154300,1662
38,CPT,DUR,FlySafair,1742116500,1742124000,1762
39,CPT,DUR,FlySafair,1742139900,1742147400,1912
40,CPT,DUR,CemAir Pty,1742117700,1742124900,1947
41,CPT,DUR,CemAir Pty,1742137200,1742144400,1947
42,CPT,DUR,LIFT Airline,1742130000,1742137500,2000
43,CPT,DUR,FlySafair,1742226300,1742233800,962
44,CPT,DUR,FlySafair,1742228400,1742235900,962
45,CPT,DUR,CemAir Pty,1742223600,1742230800,1314
46,CPT,DUR,LIFT Airline,1742216400,1742223900,1455
47,CPT,DUR,FlySafair,1742202600,1742210100,1662
48,CPT,DUR,FlySafair,1742215200,1742222700,1662
49,CPT,DUR,FlySafair,1742199900,1742207400,1912
50,CPT,DUR,CemAir Pty,1742204100,1742211300,1947
51,CPT,DUR,LIFT Airline,1742188200,1742195700,2600
52,CPT,DUR,FlySafair,1742205600,1742213100,2862
53,CPT,DUR,FlySafair,1742226300,1742233800,962
54,CPT,DUR,FlySafair,1742228400,1742235900,962
55,CPT,DUR,CemAir Pty,1742223600,1742230800,1314
56,CPT,DUR,FlySafair,1742202600,1742210100,1662
57,CPT,DUR,FlySafair,1742215200,1742222700,1662
58,CPT,DUR,FlySafair,1742199900,1742207400,1912
59,CPT,DUR,CemAir Pty,1742204100,1742211300,1947
60,CPT,DUR,LIFT Airline,1742188200,1742195700,2600
61,CPT,DUR,FlySafair,1742205600,1742213100,2862
62,CPT,DUR,FlySafair,1742314800,1742322300,762
63,CPT,DUR,FlySafair,1742310000,1742317500,862
64,CPT,DUR,FlySafair,1742312700,1742320200,862
65,CPT,DUR,LIFT Airline,1742302800,1742310300,865
